tmsid,station_call_sign,station_name,notes
10102,CPTVSPT,Connecticut Spirit Network,reported dead/generic guide data (issue #58)
11059,SNRM,SportsNet Rocky Mountain,reported dead/generic guide data (issue #58)
12800,DITV125,DITV125,reported dead/generic guide data (issue #58)
14782,PPVP,PPVP/Pay-Per-View Previews,reported dead/generic guide data (issue #58)
26547,CFOX,CFOX FM Radio,reported dead/generic guide data (issue #58)
26548,CFMI,CFMI FM Radio,reported dead/generic guide data (issue #58)
26550,CJCL,CJCL AM Radio,reported dead/generic guide data (issue #58)
26600,CFGQ,CFGQ FM Radio,reported dead/generic guide data (issue #58)
31303,DITV124,DITV124,reported dead/generic guide data (issue #58)
31697,DITV191,DITV191,reported dead/generic guide data (issue #58)
31698,DITV582,DITV582,reported dead/generic guide data (issue #58)
31973,DITV192,DITV192,reported dead/generic guide data (issue #58)
32181,DITV583,DITV583,reported dead/generic guide data (issue #58)
34274,WEDNDT3,WEDN-DT3,reported dead/generic guide data (issue #58)
44311,DITV161,DITV161 (DIRECTV),reported dead/generic guide data (issue #58)
46174,DITV584,DITV584,reported dead/generic guide data (issue #58)
47216,NFLRZ,NFL SUNDAY TICKET RED ZONE,reported dead/generic guide data (issue #58)
60629,DITV193,DITV193,reported dead/generic guide data (issue #58)
94794,RSEG,Regional Sports Extra Games,reported dead/generic guide data (issue #58)
101419,REALXTR,Real Extreme,reported dead/generic guide data (issue #58)
101585,ETVURDU,ETV Urdu,reported dead/generic guide data (issue #58)
105264,ANDTVHD,&tv HD,reported dead/generic guide data (issue #58)
109168,BKNGDC,NBA League Pass Brooklyn,reported dead/generic guide data (issue #58)
109169,BOSGDC,NBA League Pass Boston,reported dead/generic guide data (issue #58)
109170,CHAGDC,NBA League Pass Charlotte,reported dead/generic guide data (issue #58)
109171,CHIGDC,NBA League Pass Chicago,reported dead/generic guide data (issue #58)
109172,CLEGDC,NBA League Pass Cleveland,reported dead/generic guide data (issue #58)
109173,DALGDC,NBA League Pass Dallas,reported dead/generic guide data (issue #58)
109174,DENGDC,NBA League Pass Denver,reported dead/generic guide data (issue #58)
109175,DETGDC,NBA League Pass Detroit,reported dead/generic guide data (issue #58)
109176,GSWGDC,NBA League Pass Golden State,reported dead/generic guide data (issue #58)
109177,HOUGDC,NBA League Pass Houston,reported dead/generic guide data (issue #58)
109178,INDGDC,NBA League Pass Indiana,reported dead/generic guide data (issue #58)
109179,LACGDC,NBA League Pass LA Clippers,reported dead/generic guide data (issue #58)
109180,LALGDC,NBA League Pass LA Lakers,reported dead/generic guide data (issue #58)
109181,MEMGDC,NBA League Pass Memphis,reported dead/generic guide data (issue #58)
109182,MIAGDC,NBA League Pass Miami,reported dead/generic guide data (issue #58)
109183,MILGDC,NBA League Pass Milwaukee,reported dead/generic guide data (issue #58)
109185,MINGDC,NBA League Pass Minnesota,reported dead/generic guide data (issue #58)
109186,NOPGDC,NBA League Pass New Orleans,reported dead/generic guide data (issue #58)
109187,NYKGDC,NBA League Pass NY Knicks,reported dead/generic guide data (issue #58)
109188,OKCGDC,NBA League Pass Oklahoma City,reported dead/generic guide data (issue #58)
109189,ORLGDC,NBA League Pass Orlando,reported dead/generic guide data (issue #58)
109191,PHIGDC,NBA League Pass Philadelphia,reported dead/generic guide data (issue #58)
109200,PHXGDC,NBA League Pass Phoenix,reported dead/generic guide data (issue #58)
109201,PORGDC,NBA League Pass Portland,reported dead/generic guide data (issue #58)
109202,SACGDC,NBA League Pass Sacramento,reported dead/generic guide data (issue #58)
109203,SASGDC,NBA League Pass San Antonio,reported dead/generic guide data (issue #58)
109205,TORGDC,NBA League Pass Toronto,reported dead/generic guide data (issue #58)
109206,UTAGDC,NBA League Pass Utah,reported dead/generic guide data (issue #58)
109207,WASGDC,NBA League Pass Washington,reported dead/generic guide data (issue #58)
110356,TPCSTR,The Pet Collective Stream,reported dead/generic guide data (issue #58)
113037,REALVIS,Real Vision TV,reported dead/generic guide data (issue #58)
113680,PK4,Dungeons and Dragons,reported dead/generic guide data (issue #58)
113700,THISSTR,thisTV Stream,reported dead/generic guide data (issue #58)
114139,PK21,CNBC Make It,reported dead/generic guide data (issue #58)
114141,PK23,Tis the Season,reported dead/generic guide data (issue #58)
114143,PK25,Chrisley Knows Best,reported dead/generic guide data (issue #58)
114614,PTVSP,Pluto TV Spotlight,reported dead/generic guide data (issue #58)
114617,PTVBLC,Black Cinema,reported dead/generic guide data (issue #58)
114633,PTVNBC,NBC News,reported dead/generic guide data (issue #58)
114638,PTVCBN,Cheddar,reported dead/generic guide data (issue #58)
114670,PTVWPT,World Poker Tour,reported dead/generic guide data (issue #58)
114699,PTVDTBH,Dog the Bounty Hunter,reported dead/generic guide data (issue #58)
114701,PTVCCF,Cold Case Files,reported dead/generic guide data (issue #58)
114721,PTVGRK,Gordon Ramsay's Kitchen,reported dead/generic guide data (issue #58)
114872,DRAMSTR,So... Dramatic,reported dead/generic guide data (issue #58)
114894,PTV007,Pluto TV 007,reported dead/generic guide data (issue #58)
114895,PTVCOM,Pluto TV Comedy,reported dead/generic guide data (issue #58)
114897,PTVMTV,MTV Pluto TV,reported dead/generic guide data (issue #58)
114898,PTVVH1,VH1 I Love Reality,reported dead/generic guide data (issue #58)
114913,PTVVHHF,Pluto VH1 Hip Hop Family,reported dead/generic guide data (issue #58)
114914,PTVBET,BET Pluto TV,reported dead/generic guide data (issue #58)
114915,PTVSPK,Spike Pluto TV,reported dead/generic guide data (issue #58)
114916,PTVTELE,Telemundo Telenovelas,reported dead/generic guide data (issue #58)
114917,PTVINVE,Pluto TV Investiga,reported dead/generic guide data (issue #58)
114918,PTVCINE,Pluto TV Cine Estelar,reported dead/generic guide data (issue #58)
114920,PTVSPKO,Pluto Spike Outdoors,reported dead/generic guide data (issue #58)
114944,PTVBAY,Pluto Baywatch,reported dead/generic guide data (issue #58)
114945,PTVSAMC,Pluto Stories by AMC,reported dead/generic guide data (issue #58)
114949,PTVLAND,TV Land Drama,reported dead/generic guide data (issue #58)
114950,PTVNOSE,Nosey,reported dead/generic guide data (issue #58)
114951,PTVDEG,Degrassi,reported dead/generic guide data (issue #58)
114952,PTVBRIT,British TV,reported dead/generic guide data (issue #58)
114956,PTVELCT,Pluto TV Election,reported dead/generic guide data (issue #58)
114958,PTVCNN,Pluto CNN,reported dead/generic guide data (issue #58)
114966,PTVLHHP,Pluto VH1 Love & Hip Hop,reported dead/generic guide data (issue #58)
114967,PTVRPDR,Pluto VH1 RuPaul's Drag Race,reported dead/generic guide data (issue #58)
114968,PTVDCCH,Pluto Dallas Cowboys Cheerleaders,reported dead/generic guide data (issue #58)
114969,PTVFORF,Pluto Forensic Files,reported dead/generic guide data (issue #58)
114981,PTVFRFC,Pluto Fear Factor,reported dead/generic guide data (issue #58)
114982,PTVLVRG,Pluto Leverage,reported dead/generic guide data (issue #58)
115018,PTVDOCW,Doctor Who Classic,reported dead/generic guide data (issue #58)
115019,PTVCCP,Comedy Central Pluto TV,reported dead/generic guide data (issue #58)
115020,PTVWILD,MTV Wild 'N Out,reported dead/generic guide data (issue #58)
115021,PTVTOSH,Tosh.0,reported dead/generic guide data (issue #58)
115063,PTVNFLC,Pluto NFL Channel,reported dead/generic guide data (issue #58)
115108,PTVSURF,Pluto TV Surf,reported dead/generic guide data (issue #58)
115148,PTVNKTV,Nick Pluto TV,reported dead/generic guide data (issue #58)
115151,PTVTWEN,Pluto TV Tween,reported dead/generic guide data (issue #58)
115453,PTVCOPS,Pluto COPS,reported dead/generic guide data (issue #58)
115455,PTVACTN,Pluto TV Action,reported dead/generic guide data (issue #58)
115489,PTVCARS,Pluto TV Cars,reported dead/generic guide data (issue #58)
115490,PTVHORR,Pluto TV Horror,reported dead/generic guide data (issue #58)
115491,PTVMOV,Pluto TV Movies,reported dead/generic guide data (issue #58)
115889,PTVAZR,The Amazing Race,reported dead/generic guide data (issue #58)
115890,PTVSURV,Survivor,reported dead/generic guide data (issue #58)
